path,proposed_group,classification,owner,note
lib/engines/longitudinalWellnessEngine.ts,GROUP2,WELLNESS_V4,GROUP2,Longitudinal wellness engine
lib/engines/longitudinalWellnessEngine.test.ts,GROUP2,FIXTURE (test),GROUP2,Longitudinal wellness test
lib/engines/canonicalResonanceEngine.ts,GROUP2,WELLNESS_V4,GROUP2,Canonical resonance engine
lib/data/wellnessRecommendationLibrary.ts,GROUP2,WELLNESS_V4,GROUP2,Wellness recommendation library
lib/services/wellnessCurationService.ts,GROUP2,WELLNESS_V4,GROUP2,Wellness curation service
lib/services/wellnessDailyIntelligence.ts,GROUP2,WELLNESS_V4,GROUP2,Wellness daily intelligence
lib/repositories/longitudinalWellnessRepository.ts,GROUP2,WELLNESS_V4,GROUP2,Longitudinal wellness repository
lib/innerwork/wellnessSection4Logging.ts,GROUP2,WELLNESS_V4,GROUP2,Wellness section 4 logging
lib/innerwork/zoneBContext.ts,GROUP2,WELLNESS_V4,GROUP2,Zone B context
lib/types/longitudinalWellness.ts,GROUP2,WELLNESS_V4 (types),GROUP2,Longitudinal wellness types
components/wellness/WellnessPageClient.tsx,GROUP2,WELLNESS_V4,GROUP2,Wellness page client
components/dashboard/WellnessCheckInCard.tsx,GROUP2,WELLNESS_V4,GROUP2,Wellness check-in card

# GROUP 3: Journey V2
lib/repositories/journeyRepository_v2.ts,GROUP3,JOURNEY_V2,GROUP3,Journey repository v2
lib/services/journeyReadAdapter.ts,GROUP3,JOURNEY_V2,GROUP3,Journey read adapter
app/journey/page.tsx,GROUP3,JOURNEY_V2,GROUP3,Journey route
lib/v4_prompts/JourneyPrompt.tsx,GROUP3,JOURNEY_V2,GROUP3,Journey prompt

# GROUP 4: Human Meaning, Profile, Daily Note, Mirror
lib/humanMeaningRuntime/**,GROUP4,HUMAN_MEANING_V4,GROUP4,Human Meaning Runtime
lib/services/canonicalHumanMeaningService.ts,GROUP4,HUMAN_MEANING_V4,GROUP4,Canonical human meaning service
lib/intelligence/**,GROUP4,HUMAN_MEANING_V4,GROUP4,Intelligence subsystem
lib/livingIntelligence/**,GROUP4,HUMAN_MEANING_V4,GROUP4,Living intelligence subsystem
lib/profile/dailyShareCardEngineV2.tsx,GROUP4,PROFILE_V4 (share-card),GROUP4,Daily share-card engine V2
lib/engines/dailyGuidanceEngine.ts,GROUP4,DAILY_NOTE_V4,GROUP4,Daily guidance engine
lib/services/dailyGuidanceService.ts,GROUP4,DAILY_NOTE_V4,GROUP4,Canonical daily guidance service
lib/firebase/service.ts,GROUP4,PROFILE_V4,GROUP4,Firebase service
lib/repositories/dailyStateRepository.ts,GROUP4,DAILY_NOTE_V4,GROUP4,Daily state repository
lib/access/accessControl.ts,GROUP4,PROFILE_V4,GROUP4,Access control
lib/dailyGuidance/dashboardNoteAdapter.v4.ts,GROUP4,DAILY_NOTE_V4,GROUP4,Dashboard note adapter v4
lib/dailyGuidance/greetingSanitizer.ts,GROUP4,DAILY_NOTE_V4,GROUP4,Greeting sanitizer
components/dashboard/DailyNoteV2.tsx,GROUP4,DAILY_NOTE_V4,GROUP4,Daily Note V2 component
components/dashboard/DashboardClient.tsx,GROUP4,DAILY_NOTE_V4 (cards),GROUP4,Dashboard client
app/profile/page.tsx,GROUP4,PROFILE_V4,GROUP4,Profile route
app/profile/[section]/page.tsx,GROUP4,PROFILE_V4,GROUP4,Profile section route
lib/v4_prompts/MirrorPrompt.tsx,GROUP4,HUMAN_MEANING_V4 (Mirror),GROUP4,Mirror prompt

# GROUP 5: AI Gateway, Weekly Guidance, Identity Intelligence
lib/ai/config.ts,GROUP5,AI_GATEWAY,GROUP5,AI gateway config
lib/ai/gateway.ts,GROUP5,AI_GATEWAY,GROUP5,AI gateway implementation
lib/ai/errors.ts,GROUP5,AI_GATEWAY,GROUP5,AI errors
lib/ai/types.ts,GROUP5,AI_GATEWAY,GROUP5,AI types
lib/ai/provider.ts,GROUP5,AI_GATEWAY,GROUP5,Provider abstraction
lib/ai/providerCascade.ts,GROUP5,AI_GATEWAY,GROUP5,Provider cascade
lib/ai/providerHealth.ts,GROUP5,AI_GATEWAY,GROUP5,Provider health
lib/ai/geminiProvider.ts,GROUP5,AI_GATEWAY,GROUP5,Gemini provider
lib/ai/minimaxProvider.ts,GROUP5,AI_GATEWAY,GROUP5,minimax provider
lib/ai/nvidia.ts,GROUP5,AI_GATEWAY,GROUP5,NVIDIA provider
lib/ai/openrouterProvider.ts,GROUP5,AI_GATEWAY,GROUP5,OpenRouter provider
lib/ai/identitySnapshot.ts,GROUP5,IDENTITY_INTELLIGENCE,GROUP5,Identity snapshot
lib/ai/dailyGuidanceForensics.ts,GROUP5,AI_GATEWAY,GROUP5,Daily guidance forensics
lib/ai/prompts/**,GROUP5,AI_GATEWAY,GROUP5,AI prompt library
lib/services/weeklyRecommendationService.ts,GROUP5,WEEKLY_GUIDANCE,GROUP5,Weekly recommendation service
lib/repositories/weeklyRecommendationRepository.ts,GROUP5,WEEKLY_GUIDANCE,GROUP5,Weekly recommendation repo
lib/types/weeklyRecommendation.ts,GROUP5,WEEKLY_GUIDANCE,GROUP5,Weekly recommendation types
lib/prompts/soulIdentityPrompt.ts,GROUP5,IDENTITY_INTELLIGENCE,GROUP5,Soul identity prompt
lib/v4_prompts/CompassPrompt.tsx,GROUP5,AI_GATEWAY (Compass),GROUP5,Compass prompt
lib/v4_prompts/WeeklyPrompt.tsx,GROUP5,WEEKLY_GUIDANCE,GROUP5,Weekly prompt
app/api/ai/daily-guidance/route.ts,GROUP5,AI_GATEWAY,GROUP5,AI daily-guidance route
components/dashboard/WeeklyGuidanceCard.tsx,GROUP5,WEEKLY_GUIDANCE,GROUP5,Weekly guidance card
